product_id,manufacturer,management_group
prod_8199,manufacturer_1,group_1
prod_4112,manufacturer_2,group_2
prod_3354,manufacturer_3,group_3
prod_4965,manufacturer_4,group_4
prod_2683,manufacturer_5,group_5
prod_5244,manufacturer_6,group_6
prod_9640,manufacturer_7,group_7
prod_8364,manufacturer_8,group_8
prod_9851,manufacturer_9,group_9
prod_6426,manufacturer_10,group_10
prod_5771,manufacturer_11,group_11
prod_8066,manufacturer_12,group_12
prod_1102,manufacturer_13,group_13
prod_9886,manufacturer_14,group_14
prod_6144,manufacturer_15,group_15
prod_5644,manufacturer_16,group_16
prod_6690,manufacturer_17,group_17
prod_9946,manufacturer_18,group_18
prod_5175,manufacturer_19,group_19
prod_5113,manufacturer_20,group_20
prod_2362,manufacturer_21,group_21
prod_4614,manufacturer_22,group_22
prod_7475,manufacturer_23,group_23
prod_3223,manufacturer_24,group_24
prod_1192,manufacturer_25,group_25
prod_8028,manufacturer_26,group_26
prod_9542,manufacturer_27,group_27
prod_5915,manufacturer_28,group_28
prod_3548,manufacturer_29,group_29
prod_1392,manufacturer_30,group_30
prod_5032,manufacturer_31,group_31
prod_8998,manufacturer_32,group_32
prod_9103,manufacturer_33,group_33
prod_2436,manufacturer_34,group_34
prod_5109,manufacturer_35,group_35
prod_3790,manufacturer_36,group_36
prod_9816,manufacturer_37,group_37
prod_8690,manufacturer_38,group_38
prod_8685,manufacturer_39,group_39
prod_3149,manufacturer_40,group_40
prod_8010,manufacturer_41,group_41
prod_5478,manufacturer_42,group_42
prod_9687,manufacturer_43,group_43
prod_2662,manufacturer_44,group_44
prod_7361,manufacturer_45,group_45
prod_9140,manufacturer_46,group_46
prod_6847,manufacturer_47,group_47
prod_4500,manufacturer_48,group_48
prod_9382,manufacturer_49,group_49
prod_9809,manufacturer_50,group_50
prod_4092,manufacturer_51,group_51
prod_5291,manufacturer_52,group_52
prod_8372,manufacturer_53,group_53
prod_2292,manufacturer_54,group_54
prod_7594,manufacturer_55,group_55
prod_9583,manufacturer_56,group_56
prod_4777,manufacturer_57,group_57
prod_9575,manufacturer_58,group_58
prod_7874,manufacturer_59,group_59
prod_9276,manufacturer_60,group_60
prod_3943,manufacturer_61,group_61
prod_4323,manufacturer_62,group_62
prod_9879,manufacturer_63,group_63
prod_6559,manufacturer_64,group_64
prod_9788,manufacturer_65,group_65
prod_1607,manufacturer_66,group_66
prod_1131,manufacturer_67,group_67
prod_7752,manufacturer_68,group_68
prod_6365,manufacturer_69,group_69
prod_9795,manufacturer_70,group_70
prod_1139,manufacturer_71,group_71
prod_7990,manufacturer_72,group_72
prod_8080,manufacturer_73,group_73
prod_7470,manufacturer_74,group_74
prod_3728,manufacturer_75,group_75
prod_1159,manufacturer_76,group_76
prod_6444,manufacturer_77,group_77
prod_8896,manufacturer_78,group_78
prod_5105,manufacturer_79,group_79
prod_2570,manufacturer_80,group_80
prod_1562,manufacturer_81,group_81
prod_1741,manufacturer_82,group_82
prod_9768,manufacturer_83,group_83
prod_6789,manufacturer_84,group_84
prod_4273,manufacturer_85,group_85
prod_6548,manufacturer_86,group_86
prod_5303,manufacturer_87,group_87
prod_1588,manufacturer_88,group_88
prod_5314,manufacturer_89,group_89
prod_5041,manufacturer_90,group_90
prod_4877,manufacturer_91,group_91
prod_1260,manufacturer_92,group_92
prod_5005,manufacturer_93,group_93
prod_2741,manufacturer_94,group_94
prod_7092,manufacturer_95,group_95
prod_6899,manufacturer_96,group_96
prod_7659,manufacturer_97,group_97
prod_3774,manufacturer_98,group_98
prod_5498,manufacturer_99,group_99
prod_3311,manufacturer_100,group_100
prod_8038,manufacturer_101,group_101
prod_4885,manufacturer_102,group_102
prod_2488,manufacturer_103,group_103
prod_9691,manufacturer_104,group_104
prod_6597,manufacturer_105,group_105
prod_2022,manufacturer_106,group_106
prod_1390,manufacturer_107,group_107
prod_8561,manufacturer_108,group_108
prod_2164,manufacturer_109,group_109
prod_6238,manufacturer_110,group_110
prod_9427,manufacturer_111,group_111
prod_7274,manufacturer_112,group_112
prod_1120,manufacturer_113,group_113
prod_6752,manufacturer_114,group_114
prod_4580,manufacturer_115,group_115
prod_7843,manufacturer_116,group_116
prod_1526,manufacturer_117,group_117
prod_2837,manufacturer_118,group_118
prod_6197,manufacturer_119,group_119
prod_6825,manufacturer_120,group_120
prod_2058,manufacturer_121,group_121
prod_1701,manufacturer_122,group_122
prod_4825,manufacturer_123,group_123
prod_1650,manufacturer_124,group_124
prod_1455,manufacturer_125,group_125
prod_2508,manufacturer_126,group_126
prod_2653,manufacturer_127,group_127
prod_5933,manufacturer_128,group_128
prod_5984,manufacturer_129,group_129
prod_2895,manufacturer_130,group_130
prod_4875,manufacturer_131,group_131
prod_6383,manufacturer_132,group_132
prod_4376,manufacturer_133,group_133
prod_3563,manufacturer_134,group_134
prod_6027,manufacturer_135,group_135
prod_5613,manufacturer_136,group_136
prod_3999,manufacturer_137,group_137
prod_5193,manufacturer_138,group_138
prod_3324,manufacturer_139,group_139
prod_8733,manufacturer_140,group_140
prod_6324,manufacturer_141,group_141
prod_3788,manufacturer_142,group_142
prod_1325,manufacturer_143,group_143
prod_1749,manufacturer_144,group_144
prod_7953,manufacturer_145,group_145
prod_8978,manufacturer_146,group_146
prod_1059,manufacturer_147,group_147
prod_9020,manufacturer_148,group_148
prod_7247,manufacturer_149,group_149
prod_2399,manufacturer_150,group_150
prod_4126,manufacturer_151,group_151
prod_7122,manufacturer_152,group_152
prod_7121,manufacturer_153,group_153
prod_1811,manufacturer_154,group_154
prod_9646,manufacturer_155,group_155
prod_5033,manufacturer_156,group_156
prod_4495,manufacturer_157,group_157
prod_2371,manufacturer_158,group_158
prod_7066,manufacturer_159,group_159
prod_8597,manufacturer_160,group_160
prod_7877,manufacturer_161,group_161
prod_3983,manufacturer_162,group_162
prod_8487,manufacturer_163,group_163
prod_8172,manufacturer_164,group_164
prod_6763,manufacturer_165,group_165
prod_5815,manufacturer_166,group_166
prod_1901,manufacturer_167,group_167
prod_6485,manufacturer_168,group_168
prod_9807,manufacturer_169,group_169
prod_4671,manufacturer_170,group_170
prod_5585,manufacturer_171,group_171
prod_3962,manufacturer_172,group_172
prod_5563,manufacturer_173,group_173
prod_8581,manufacturer_174,group_174
prod_8931,manufacturer_175,group_175
prod_1374,manufacturer_176,group_176
prod_5661,manufacturer_177,group_177
prod_1327,manufacturer_178,group_178
prod_7389,manufacturer_179,group_179
prod_2888,manufacturer_180,group_180
prod_5281,manufacturer_181,group_181
prod_3921,manufacturer_182,group_182
prod_9588,manufacturer_183,group_183
prod_6606,manufacturer_184,group_184
prod_7771,manufacturer_185,group_185
prod_1787,manufacturer_186,group_186
prod_6876,manufacturer_187,group_187
prod_8445,manufacturer_188,group_188
prod_3143,manufacturer_189,group_189
prod_7733,manufacturer_190,group_190
prod_3688,manufacturer_191,group_191
prod_3402,manufacturer_192,group_192
prod_6700,manufacturer_193,group_193
prod_6699,manufacturer_194,group_194
prod_5594,manufacturer_195,group_195
prod_8776,manufacturer_196,group_196
prod_4440,manufacturer_197,group_197
prod_8352,manufacturer_198,group_198
prod_9633,manufacturer_199,group_199
prod_1875,manufacturer_200,group_200
prod_3829,manufacturer_201,group_201
prod_7808,manufacturer_202,group_202
prod_3625,manufacturer_203,group_203
prod_2657,manufacturer_204,group_204
prod_1493,manufacturer_205,group_205
prod_6171,manufacturer_206,group_206
prod_6684,manufacturer_207,group_207
prod_8052,manufacturer_208,group_208
prod_5674,manufacturer_209,group_209
prod_2686,manufacturer_210,group_210
prod_9590,manufacturer_211,group_211
prod_7182,manufacturer_212,group_212
prod_9962,manufacturer_213,group_213
prod_2430,manufacturer_214,group_214
prod_2731,manufacturer_215,group_215
prod_8551,manufacturer_216,group_216
prod_7466,manufacturer_217,group_217
prod_1707,manufacturer_218,group_218
prod_6096,manufacturer_219,group_219
prod_8918,manufacturer_220,group_220
prod_7200,manufacturer_221,group_221
prod_8670,manufacturer_222,group_222
prod_9326,manufacturer_223,group_223
prod_4737,manufacturer_224,group_224
prod_5147,manufacturer_225,group_225
prod_9259,manufacturer_226,group_226
prod_9306,manufacturer_227,group_227
prod_2073,manufacturer_228,group_228
prod_9882,manufacturer_229,group_229
prod_1945,manufacturer_230,group_230
prod_1280,manufacturer_231,group_231
